item_code, vendor_code,launch_month, unit_price, department_name, category_name, subcategory_name,sales_velocity, sales_month, sales_unit, promotion_type
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M01,41,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M02,55,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M03,64.8,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M04,46,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M05,67,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M06,58.4,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M07,49,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M08,61,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M09,72,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M10,94,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M11,85,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2008.M12,75.2,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M01,49,In-Store Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M02,78,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M03,86.4,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M04,85,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M05,92,In-Store Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M06,107.2,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M07,107,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M08,97,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M09,88.8,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M10,94,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M11,72,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2009.M12,71.2,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M01,73,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M02,85,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M03,70.4,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M04,95,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M05,133,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M06,124.8,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M07,89,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M08,103,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M09,108,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M10,101,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M11,108,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2010.M12,117.6,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M01,69,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M02,96,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M03,112.8,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M04,128,Catalogue Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M05,117,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M06,103.2,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M07,99,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M08,86,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M09,100.8,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M10,72,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M11,94,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2011.M12,95.2,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M01,88.8,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M02,101,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M03,92,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M04,50,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M05,71,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M06,92.8,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M07,55,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M08,84,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M09,74.4,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M10,77,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M11,97,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2012.M12,99.2,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2013.M01,52,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2013.M02,77,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2013.M03,73.6,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2013.M04,77,In-Store Promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2013.M05,80,no_promotion
I-111164,V10,2007.M01,118,Face,Face Treatment,Face Treatment Other,B,2013.M06,78.4,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M01,51,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M02,35,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M03,35.2,Catalogue Promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M04,45,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M05,25,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M06,35.2,Catalogue Promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M07,38,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M08,31,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M09,44,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M10,62,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M11,55,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2008.M12,65.6,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2009.M01,35,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2009.M02,55,no_promotion
I-111165,V10,2007.M01,192,Face,Face Treatment,Face Treatment Other,B,2009.M03,61.6,no_promotion
